Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,math
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.0
2,1,5,4,3,2,2,4,3,4,2,3,4,4,2,4,2,3,3,3,3,3,5,5,2,4,4,3,2,3,4,3,3,5,3,4,3,1,4,2,111.0
1,1,5,5,5,1,5,1,1,1,4,5,5,5,5,1,5,5,1,5,4,1,5,5,1,5,5,5,1,1,3,1,1,1,5,1,5,1,1,5,95.0
5,1,4,2,4,4,2,4,4,2,2,4,4,2,2,3,2,2,5,3,2,4,2,5,1,4,4,4,2,2,5,2,3,4,1,1,3,5,4,2,114.0
3,5,3,3,2,2,2,1,2,5,2,3,1,3,4,3,3,2,2,2,2,3,4,3,3,3,1,3,2,2,1,2,1,2,4,4,1,3,1,4,117.0
2,1,1,2,5,2,4,4,4,2,2,5,5,5,1,5,2,2,2,4,3,4,2,4,2,5,2,2,3,1,4,4,2,5,2,2,2,1,4,2,119.0
2,2,2,3,3,3,0,3,3,3,1,4,4,2,1,4,2,2,4,4,2,4,3,2,1,4,2,2,2,3,1,2,4,4,3,2,2,2,4,2,95.0
1,5,5,5,1,5,1,1,1,5,5,5,1,5,5,1,5,5,1,1,1,1,1,5,1,5,1,5,1,5,1,5,1,1,1,5,1,5,5,5,77.0
1,2,4,4,4,2,3,2,5,5,3,4,5,3,2,4,2,2,4,4,1,4,5,5,1,5,4,3,3,2,4,3,2,4,4,1,3,2,4,3,111.0
5,1,4,2,1,2,4,4,4,5,4,4,3,1,4,2,4,2,5,2,2,1,4,2,2,4,1,4,1,3,4,1,1,3,4,1,3,5,2,4,118.0
3,4,2,3,1,3,1,2,3,5,3,4,1,3,3,3,3,2,4,1,2,3,2,4,1,4,1,3,1,3,2,4,3,3,2,4,3,2,2,1,106.0
4,2,1,3,2,3,4,4,2,3,2,5,4,4,1,4,2,3,3,3,3,5,3,4,2,4,2,2,2,3,3,2,3,4,2,2,2,2,4,3,120.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.0
3,3,4,3,2,1,3,1,2,4,5,5,1,3,5,1,4,4,3,3,0,2,5,5,1,5,2,3,1,2,3,3,3,1,3,3,1,2,1,4,139.0
2,2,5,4,4,2,4,4,2,4,2,4,3,2,2,5,2,3,5,3,1,4,4,3,1,5,2,5,1,1,1,2,4,3,3,2,4,1,3,3,114.0
3,4,2,5,1,5,4,1,1,5,5,4,1,5,5,1,5,5,1,2,2,1,1,2,1,2,1,4,2,2,1,4,3,1,2,5,3,2,1,1,91.0
1,2,1,4,3,3,3,3,3,3,2,5,3,1,2,5,2,3,5,3,3,3,3,5,1,5,1,1,3,3,2,4,5,4,2,3,3,1,4,3,118.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.0
4,1,1,2,4,5,4,4,4,2,1,5,4,5,2,4,2,2,4,4,2,4,5,5,2,5,3,4,1,2,4,2,2,4,4,1,1,2,5,2,116.0
3,1,1,1,3,1,1,3,2,5,4,5,3,3,3,4,3,3,4,3,0,4,5,4,3,5,4,3,1,3,5,3,4,5,2,1,2,3,3,3,131.0
1,3,2,4,3,3,3,5,1,4,3,4,1,2,3,2,1,1,5,3,2,5,3,4,2,4,2,3,2,3,2,3,2,4,3,3,3,2,3,4,117.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.0
3,3,1,4,3,3,3,4,2,3,1,4,3,2,2,4,2,4,5,4,3,4,4,3,1,4,2,4,2,1,2,2,2,5,2,2,2,3,4,3,122.0
2,4,4,4,2,2,4,4,2,4,4,4,2,2,4,4,4,4,2,2,2,2,4,4,2,4,2,4,4,2,1,4,2,2,4,4,4,2,2,4,103.0
3,1,1,1,5,2,3,5,5,1,1,5,5,3,1,5,1,1,2,4,1,5,3,2,1,5,5,3,3,3,5,3,3,5,3,1,3,2,4,3,129.0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,147.0
5,5,4,5,1,4,4,2,2,5,5,5,1,5,5,1,5,5,4,3,2,1,4,4,1,4,1,4,3,1,1,1,4,1,4,5,4,5,1,1,87.0
1,4,5,5,1,4,1,1,3,5,4,5,2,3,5,5,4,4,1,1,1,4,2,4,1,4,1,4,1,1,1,5,0,1,2,5,3,1,1,2,105.0
5,4,5,4,4,1,5,2,2,4,4,4,4,1,4,1,3,4,5,1,3,2,5,5,1,4,3,4,1,4,2,1,5,4,5,3,1,5,2,5,113.0
4,2,3,3,5,3,4,2,2,4,2,4,4,2,1,5,1,3,3,3,1,5,2,4,1,5,4,4,1,2,4,4,4,4,3,2,3,4,3,3,114.0
5,2,1,3,3,5,4,4,5,5,1,5,2,2,1,5,1,2,3,2,1,5,2,5,1,5,5,4,3,4,2,4,4,5,3,2,5,4,5,2,116.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.0
2,3,4,4,2,3,2,1,2,5,4,3,1,3,4,1,3,4,2,3,2,2,3,5,1,5,1,2,2,3,1,2,3,1,2,4,2,3,2,2,103.0
4,3,4,4,2,3,4,2,2,4,4,5,3,2,4,1,2,4,2,2,2,4,3,4,2,5,1,4,4,3,1,1,4,2,1,4,4,2,2,3,105.0
1,1,2,1,2,4,5,3,2,4,1,4,2,3,1,4,1,2,5,1,1,5,2,3,1,2,3,5,2,5,4,3,3,5,1,2,4,3,4,1,123.0
1,2,1,4,3,1,3,3,1,5,1,5,3,2,2,2,2,3,3,3,1,5,4,3,3,5,3,3,3,4,4,2,4,3,3,3,3,1,3,3,122.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.0
3,3,3,2,3,4,4,4,5,3,1,5,4,4,2,5,2,2,3,2,2,5,3,3,1,5,3,4,3,3,4,2,3,5,3,4,2,1,5,3,117.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.0
2,5,5,4,2,2,5,3,1,4,4,3,2,2,4,5,5,5,1,2,4,1,3,2,2,5,1,4,1,4,1,4,2,1,5,2,3,2,1,5,104.0
1,2,2,2,2,5,2,5,1,5,1,5,4,1,4,4,2,5,3,3,2,4,3,5,2,5,2,2,2,4,5,5,4,5,2,4,4,3,4,2,108.0
1,3,4,4,4,4,4,4,5,2,1,5,4,3,2,4,2,4,3,3,1,2,5,5,1,4,4,4,1,2,4,3,4,4,1,4,3,1,4,2,106.0
4,3,1,0,4,3,2,2,2,2,2,5,2,4,4,2,5,2,2,2,3,0,2,4,1,3,4,2,2,2,1,3,2,3,4,4,2,3,3,2,146.0
4,3,4,5,2,1,1,2,5,5,4,5,2,2,5,2,4,2,5,4,1,2,5,5,1,5,4,5,1,2,4,4,1,2,4,2,2,3,2,5,98.0
2,2,4,3,3,5,3,4,2,4,1,3,3,3,2,4,2,4,3,3,2,3,3,3,2,3,3,3,0,3,2,3,3,4,3,3,0,2,3,3,84.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.0
2,5,4,5,1,4,4,1,1,5,4,5,1,1,5,5,5,5,5,1,2,1,2,4,1,5,1,1,1,3,1,1,2,4,3,5,4,3,1,1,99.0
2,5,2,4,2,3,3,1,2,5,3,4,1,3,3,4,4,4,5,1,2,2,4,3,1,3,2,3,1,2,1,3,2,3,2,4,4,3,1,3,106.0
0,1,4,3,5,1,2,4,3,3,1,5,5,4,0,3,2,1,4,3,1,4,3,5,1,4,3,3,1,0,3,5,3,4,3,1,4,1,4,1,77.0
0,0,0,1,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,138.0
2,3,1,3,4,4,4,2,4,3,2,4,4,4,2,5,2,4,2,4,4,4,4,4,1,5,3,4,2,4,2,4,2,5,3,4,4,2,4,3,109.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.0
5,1,3,2,2,1,5,2,5,4,4,3,2,1,3,1,4,3,5,3,3,3,4,5,2,5,2,5,1,5,4,1,4,2,4,1,3,5,1,5,115.0
2,3,1,3,3,5,2,3,3,2,5,4,2,4,1,4,3,3,3,2,2,3,3,5,2,2,5,3,2,2,4,2,1,5,3,4,3,2,4,2,110.0
2,1,3,3,4,2,2,3,3,1,2,5,4,2,2,4,2,3,3,2,3,3,3,5,2,2,3,3,3,3,4,2,3,4,3,2,2,1,3,3,122.0
3,5,5,5,2,1,2,1,1,5,3,5,2,3,5,3,3,4,4,3,2,2,5,4,2,5,1,5,4,3,2,3,2,3,2,4,4,1,2,4,98.0
4,4,1,2,4,1,3,3,2,3,2,5,4,2,2,4,4,4,2,3,2,3,5,3,1,4,1,4,3,0,1,3,3,4,2,2,4,2,4,3,119.0
3,2,1,2,4,2,2,4,4,3,1,5,4,1,1,4,1,2,4,5,1,4,2,3,1,5,3,4,2,2,4,5,5,4,2,1,3,2,4,3,123.0
4,2,4,5,1,4,1,2,1,4,5,4,2,4,5,5,4,5,2,3,2,2,2,4,2,2,1,4,4,3,1,5,1,1,1,2,3,4,1,2,95.0
1,1,4,2,2,1,2,4,3,3,1,5,2,2,2,5,1,3,3,3,2,3,5,3,1,5,5,3,3,3,5,3,3,3,3,2,4,1,5,3,121.0
5,4,4,2,5,5,5,1,1,4,4,2,4,4,4,4,4,5,1,5,5,1,1,1,4,2,2,1,5,5,2,1,4,1,4,2,4,5,1,2,112.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.0
0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,140.0
4,1,2,4,4,1,5,1,2,3,5,5,3,1,5,1,5,4,5,2,2,1,5,4,1,5,4,4,4,4,1,1,4,1,4,1,4,4,1,5,110.0
2,5,3,5,1,5,1,1,3,5,2,2,2,4,4,2,4,5,1,2,1,1,3,5,1,5,1,3,2,3,1,4,2,2,1,5,1,1,1,1,90.0
5,1,5,2,5,5,5,2,5,5,5,5,5,1,5,1,3,2,1,4,1,3,5,5,2,5,5,4,1,3,5,1,5,1,5,1,2,5,2,5,104.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.0
3,2,3,4,3,4,4,4,5,4,2,5,3,4,5,4,3,4,4,4,2,4,3,4,2,4,4,3,2,3,3,2,2,4,4,3,4,2,4,3,105.0
3,3,2,3,4,1,4,4,0,3,2,5,4,5,2,2,3,3,2,5,1,4,5,5,4,5,4,5,4,4,3,5,4,4,3,3,2,3,3,3,113.0
1,4,1,4,4,4,4,4,3,2,1,5,3,3,1,5,1,3,4,3,2,5,1,4,2,4,3,4,2,2,2,3,3,5,2,5,5,2,5,2,115.0
4,5,4,5,1,1,2,1,1,5,1,5,1,2,4,1,5,5,4,3,1,2,5,5,1,5,1,1,1,1,1,1,5,2,2,5,1,1,2,4,105.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.0
2,1,1,1,5,3,1,5,4,2,1,5,5,3,1,5,1,2,5,5,1,5,1,5,1,5,5,2,4,5,5,5,2,5,4,2,2,1,5,3,120.0
3,3,5,5,2,1,3,1,3,3,5,5,2,4,5,1,5,2,3,1,4,1,5,3,1,2,3,1,1,3,1,4,2,1,3,3,1,5,4,4,103.0
1,1,4,1,4,1,3,4,5,2,1,4,5,5,1,4,1,1,3,4,3,4,1,5,1,2,5,4,3,1,4,4,4,2,3,1,2,2,4,1,119.0
1,5,5,5,1,1,3,1,5,5,4,1,1,5,5,1,5,1,1,1,3,2,5,5,1,5,1,3,5,1,1,3,3,1,5,5,5,1,5,1,95.0
1,1,5,2,2,4,4,4,4,4,2,5,3,3,3,4,3,2,5,4,3,3,2,4,1,5,3,2,3,4,3,4,3,5,3,2,2,1,4,3,111.0
4,1,5,1,5,1,4,1,5,1,1,5,2,2,5,1,1,1,2,4,4,1,5,5,1,5,5,4,5,5,5,1,5,1,4,3,1,5,1,5,114.0
3,2,2,3,2,3,4,4,5,2,1,4,1,4,2,4,2,5,1,3,2,3,4,4,1,3,1,2,2,2,2,4,4,5,2,2,4,3,4,3,115.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.0
4,2,2,3,3,4,2,3,4,5,1,5,1,1,1,1,1,2,5,3,1,5,5,5,1,1,3,5,1,1,1,3,1,5,3,3,3,2,2,3,120.0
3,3,5,2,3,2,3,3,4,4,2,5,4,3,4,5,2,3,4,4,2,5,4,4,3,3,4,2,2,3,3,3,3,5,3,3,3,2,4,3,111.0
3,2,3,3,3,3,3,4,4,4,5,4,3,2,1,3,1,4,5,2,3,4,3,5,2,3,4,2,3,2,3,3,3,4,2,3,2,2,4,2,117.0
5,2,4,4,2,2,3,4,4,4,2,2,3,3,4,2,4,2,4,3,2,2,3,3,2,3,1,4,1,3,2,4,2,1,2,2,2,5,2,2,110.0
2,1,5,3,2,4,1,5,3,4,4,5,5,1,2,3,1,2,5,4,5,5,3,4,1,4,4,3,1,2,3,3,3,5,3,4,4,2,5,3,114.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.0
3,3,3,2,4,2,2,5,2,5,1,4,2,3,1,3,1,4,2,4,2,4,3,4,1,5,5,3,3,3,4,3,2,3,2,3,2,1,3,3,115.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,91.0
4,4,2,3,4,1,5,3,5,2,5,5,2,1,5,3,5,2,5,5,5,1,5,2,1,5,4,5,1,2,5,1,4,1,5,3,1,4,3,5,109.0
4,4,4,5,1,4,3,2,1,5,2,4,1,1,4,3,5,5,4,1,2,2,2,5,2,4,1,4,1,4,1,2,4,1,2,5,4,3,2,3,97.0
1,5,1,1,1,2,5,1,1,5,2,5,1,2,5,3,5,5,1,1,1,1,5,5,3,5,1,5,2,1,3,2,2,1,3,5,3,3,3,3,99.0
0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,122.0
0,1,4,1,1,2,4,5,3,4,1,5,2,1,1,4,2,3,4,2,1,5,5,5,1,5,3,1,1,2,4,2,5,3,3,3,2,2,2,3,117.0
1,5,3,5,2,2,3,2,1,3,2,1,3,3,4,3,3,5,3,0,3,3,3,4,3,5,1,2,2,0,3,3,3,2,3,4,3,1,2,3,148.0
1,5,5,2,1,2,1,1,5,3,5,1,1,5,5,3,3,1,1,1,1,1,5,1,1,1,1,5,1,3,1,1,3,1,3,4,1,1,1,2,111.0
2,2,4,1,4,2,2,1,5,4,5,5,4,4,5,1,4,1,4,1,1,2,5,4,1,4,5,5,3,3,4,4,5,1,1,1,5,2,1,1,96.0
3,4,5,3,3,3,3,3,3,4,4,3,2,3,3,2,4,1,4,2,2,2,3,3,2,3,1,5,1,2,1,2,3,2,4,4,1,2,2,3,109.0
3,1,4,4,1,5,2,3,1,4,5,1,1,2,4,1,2,1,4,2,4,2,4,5,1,5,1,4,2,5,1,3,2,2,5,4,3,2,1,5,107.0
1,2,3,3,1,2,1,3,3,5,5,5,1,3,1,5,1,5,3,3,3,4,5,3,1,5,5,5,1,3,5,4,1,3,3,5,3,1,5,3,105.0
3,2,5,2,5,2,5,1,4,5,4,5,2,1,5,4,5,2,5,5,2,1,3,5,1,5,5,5,4,4,3,1,4,1,3,2,1,3,1,3,99.0
4,5,5,1,3,2,3,1,5,5,4,5,4,1,5,1,5,3,5,2,1,1,5,4,2,5,5,3,1,1,2,1,5,5,3,4,3,5,1,1,102.0
3,5,5,5,1,5,3,2,1,5,4,4,1,4,4,1,4,4,3,2,2,2,5,5,2,5,1,4,5,3,1,5,3,1,4,3,4,2,2,5,87.0
5,4,4,2,2,4,5,1,4,5,3,4,2,2,5,4,4,3,1,2,0,2,3,3,1,5,5,5,1,3,5,1,2,2,5,2,2,4,2,4,138.0
4,4,1,2,3,2,3,3,2,4,3,4,3,2,4,4,2,3,4,3,2,4,3,4,3,4,3,2,1,3,1,2,3,4,3,4,2,3,4,3,119.0
5,2,3,3,4,2,5,2,2,4,4,3,4,4,4,2,4,3,4,3,2,2,4,3,1,4,2,4,1,3,2,2,3,2,2,3,3,2,2,2,111.0
2,4,4,4,4,3,2,4,1,5,1,4,4,4,3,1,2,5,4,5,3,5,3,4,1,4,2,4,2,5,4,4,4,5,2,2,2,1,2,3,106.0
3,2,5,3,3,2,4,2,4,5,2,5,3,1,4,3,4,2,4,3,1,2,5,5,1,5,1,4,2,3,3,1,3,2,3,3,2,5,1,4,110.0
3,2,2,5,4,2,1,4,5,3,4,5,5,1,3,4,2,3,4,2,4,5,4,5,1,5,3,4,2,1,1,5,5,3,3,3,4,2,3,4,110.0
2,1,4,1,3,3,3,5,4,2,2,4,4,2,1,1,1,2,5,4,1,5,3,4,2,5,1,3,2,3,2,5,4,3,3,1,3,2,5,3,120.0
3,2,5,1,4,2,2,4,3,2,1,5,4,3,2,4,2,4,2,4,1,5,4,4,1,4,1,2,1,2,1,3,3,4,2,2,3,3,4,3,116.0
2,2,1,3,3,2,0,0,5,5,5,5,3,3,2,5,0,2,5,5,2,4,1,3,2,5,4,3,3,3,3,2,3,1,3,3,1,1,5,2,114.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.0
1,5,4,5,2,4,2,2,1,5,1,4,1,4,4,2,4,4,2,2,1,1,2,4,2,4,1,4,2,2,1,2,2,2,2,5,2,2,1,2,96.0
3,5,4,4,1,4,5,1,1,5,5,3,1,3,5,3,5,5,5,1,3,1,3,4,2,4,1,3,1,3,1,5,5,1,2,2,4,5,1,4,94.0
4,1,5,3,1,2,2,2,0,0,4,1,1,1,5,2,4,5,0,0,3,1,5,2,2,5,2,4,0,0,3,2,3,1,3,4,3,0,0,0,137.0
5,2,1,2,5,1,4,5,3,2,1,5,4,5,1,5,1,2,1,5,1,5,4,3,1,5,3,4,2,5,4,5,3,5,3,1,1,1,5,3,121.0
3,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,136.0
4,4,1,3,3,3,4,3,1,2,1,2,3,4,4,5,3,3,1,3,2,5,5,3,2,5,2,5,3,3,3,3,2,5,4,3,2,2,5,4,114.0
4,3,3,4,3,3,3,4,4,3,3,4,4,3,3,4,2,3,5,3,1,4,4,4,2,2,3,4,3,3,3,3,3,4,3,4,3,3,4,2,109.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.0
4,1,5,1,5,1,5,1,5,1,5,4,5,1,5,1,5,1,5,1,1,5,5,3,1,5,5,1,1,1,3,1,2,1,5,1,1,4,2,4,118.0
1,3,1,3,2,1,3,3,4,5,5,3,1,1,1,4,3,5,5,3,1,2,4,3,1,4,5,4,1,2,3,4,2,5,3,3,3,2,5,4,115.0
5,5,5,5,1,4,4,3,1,5,4,5,3,4,3,3,4,5,5,3,2,2,2,4,1,5,1,5,2,1,1,2,4,1,3,5,3,3,2,2,91.0
4,2,2,2,4,5,3,4,1,2,2,5,5,3,2,4,1,5,4,5,1,4,4,5,1,5,5,5,1,2,5,3,5,4,2,2,2,3,4,2,107.0
2,3,4,4,2,5,4,4,3,2,5,5,3,3,1,5,1,3,4,4,3,4,1,4,1,5,4,3,5,3,2,3,4,5,4,4,2,3,5,4,112.0
1,1,4,4,5,2,2,5,2,2,1,5,4,1,1,1,1,4,5,4,2,5,2,4,1,5,0,4,2,4,2,2,2,4,1,1,2,2,4,4,89.0
5,3,5,3,3,1,5,1,4,4,5,5,4,1,3,1,4,2,5,1,3,4,2,3,1,4,2,1,1,5,2,1,5,1,5,1,1,5,1,5,118.0
3,5,1,4,4,4,3,4,4,4,5,5,1,2,1,5,1,2,4,5,3,5,2,5,2,5,2,4,3,4,2,4,4,5,2,4,4,2,5,3,108.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.0
5,2,1,3,1,2,3,2,2,4,4,1,3,4,4,1,4,3,3,4,2,2,2,1,2,1,2,1,3,3,2,4,2,1,4,1,5,2,3,2,121.0
4,5,3,5,2,1,2,3,1,5,5,5,1,3,3,4,3,5,3,4,2,3,4,4,1,5,1,5,4,2,1,4,4,1,3,4,3,4,1,4,97.0
5,2,2,2,3,2,2,4,3,3,5,4,3,4,2,3,2,3,4,3,4,5,4,3,2,3,3,5,2,2,4,5,2,4,3,3,3,4,4,3,112.0
5,3,4,2,4,4,2,4,4,4,1,4,4,2,2,4,2,4,2,3,2,5,1,5,1,5,2,4,2,2,2,4,4,4,2,4,4,4,4,3,105.0
4,2,4,5,2,1,1,1,2,0,1,5,2,4,1,5,2,5,5,3,1,4,5,5,1,5,1,3,2,2,2,4,1,5,4,3,1,2,5,5,136.0
1,3,5,1,4,1,5,3,1,5,3,3,3,1,3,1,1,1,1,1,5,2,1,1,2,1,1,1,5,3,3,1,5,1,1,1,1,4,3,2,135.0
3,2,2,1,4,2,2,5,4,1,1,5,5,2,2,5,1,3,2,4,2,4,4,3,0,4,5,3,2,2,5,4,2,5,3,1,1,2,5,3,121.0
3,1,5,2,3,4,3,4,4,3,1,4,4,2,3,3,1,2,2,2,3,4,3,4,2,4,1,3,3,3,2,3,4,4,2,2,3,3,4,4,118.0
5,2,4,4,4,2,5,1,4,3,5,4,3,4,5,1,4,3,4,3,2,3,5,4,1,4,3,4,1,3,3,3,2,1,4,1,2,4,1,4,98.0
2,3,3,4,3,2,3,4,3,5,1,5,3,4,2,5,2,5,4,3,1,5,4,5,1,5,3,5,1,3,3,5,2,4,3,2,3,1,3,5,104.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.0
2,4,4,3,4,2,1,0,4,4,4,4,4,3,4,2,2,2,5,2,3,2,2,5,1,5,2,5,1,3,3,4,2,3,2,5,2,2,3,2,121.0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,145.0
2,2,3,4,3,4,3,3,1,5,4,3,2,3,2,3,5,5,1,3,2,1,2,3,2,3,1,3,1,1,1,2,2,2,2,5,4,2,2,2,105.0
4,3,4,3,2,4,2,1,4,2,5,5,2,4,5,3,5,4,2,2,2,1,3,4,1,4,2,5,3,2,2,5,4,2,2,4,4,4,2,2,86.0
2,2,2,5,5,2,5,4,5,4,3,3,4,3,3,5,3,4,2,3,3,5,3,4,3,4,3,3,1,0,3,2,3,5,4,2,3,4,5,0,130.0
3,2,5,3,4,3,4,4,2,3,2,4,5,5,2,2,1,5,5,3,3,4,2,5,1,5,5,3,2,5,4,2,4,4,3,1,2,1,4,2,109.0
5,4,4,5,1,2,2,3,1,4,5,4,2,2,3,4,4,4,4,1,3,2,5,4,4,4,1,4,1,2,1,4,2,2,2,4,2,3,3,4,103.0
3,3,5,3,3,3,3,2,3,5,4,4,3,2,5,2,4,4,4,2,3,3,3,3,2,4,3,1,2,2,2,4,2,1,3,3,4,3,2,3,103.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.0
1,5,5,5,1,1,1,1,1,5,5,1,1,5,1,1,5,5,1,1,1,1,1,5,1,1,5,5,1,1,5,5,1,1,1,5,1,5,1,1,91.0
3,4,3,4,2,1,2,2,1,5,3,4,2,2,4,3,4,5,5,3,1,2,5,4,1,5,1,1,4,3,2,3,2,3,3,4,2,2,1,4,108.0
0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,102.0
2,3,2,3,4,4,2,4,4,4,4,4,3,2,2,4,3,2,4,3,2,4,3,4,2,4,2,3,2,4,2,4,3,4,2,3,3,2,4,2,110.0
2,3,3,3,4,2,1,4,4,2,1,4,5,3,4,4,1,3,4,4,1,5,2,4,1,5,4,4,1,2,3,4,3,4,4,2,4,1,3,3,112.0
2,2,4,2,4,3,4,4,4,0,1,4,4,4,2,4,2,3,2,4,2,4,2,2,1,2,4,4,2,2,4,2,2,4,3,2,2,2,4,3,143.0
4,4,5,5,1,4,4,1,5,5,5,5,1,1,4,2,1,5,1,1,1,2,2,4,1,5,1,5,1,1,1,2,4,2,1,4,2,4,1,4,98.0
4,4,1,4,4,5,2,4,1,3,2,5,3,2,1,5,1,5,4,4,2,4,2,4,2,5,4,2,2,4,4,5,4,4,2,2,2,1,4,2,112.0
4,2,5,2,4,3,4,4,5,3,2,5,5,3,1,4,2,2,2,4,3,4,2,4,1,5,3,4,4,3,4,5,2,4,2,2,4,3,5,4,109.0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,146.0
4,1,2,3,4,1,4,2,4,4,5,3,3,1,5,3,4,2,4,3,1,3,4,3,1,5,4,5,1,1,1,1,4,2,4,1,2,4,1,4,115.0
1,1,5,3,0,0,0,0,0,0,5,2,4,0,0,0,0,0,0,0,3,4,3,3,0,0,0,0,0,0,5,3,2,3,0,0,0,0,0,0,132.0
3,3,2,3,1,3,5,3,3,5,4,5,3,3,3,2,3,4,3,3,5,3,4,5,1,5,1,3,1,2,3,2,4,1,3,4,1,2,2,3,103.0
1,1,1,1,1,1,1,1,5,1,3,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,136.0
